episode: 0, Reward: 87.0
episode: 1, Reward: 16.0
episode: 2, Reward: 16.0
episode: 3, Reward: 17.0
episode: 4, Reward: 18.0
episode: 5, Reward: 18.0
episode: 6, Reward: 19.0
episode: 7, Reward: 17.0
episode: 8, Reward: 23.0
episode: 9, Reward: 54.0
episode: 10, Reward: 91.0
episode: 11, Reward: 200.0
episode: 12, Reward: 38.0
episode: 13, Reward: 41.0
episode: 14, Reward: 40.0
episode: 15, Reward: 200.0
episode: 16, Reward: 128.0
episode: 17, Reward: 88.0
episode: 18, Reward: 84.0
episode: 19, Reward: 41.0
episode: 20, Reward: 20.0
episode: 21, Reward: 110.0
episode: 22, Reward: 33.0
episode: 23, Reward: 34.0
episode: 24, Reward: 22.0
episode: 25, Reward: 31.0
episode: 26, Reward: 18.0
episode: 27, Reward: 17.0
episode: 28, Reward: 20.0
episode: 29, Reward: 41.0
episode: 30, Reward: 16.0
episode: 31, Reward: 70.0
episode: 32, Reward: 24.0
episode: 33, Reward: 17.0
episode: 34, Reward: 63.0
episode: 35, Reward: 18.0
episode: 36, Reward: 18.0
episode: 37, Reward: 27.0
episode: 38, Reward: 43.0
episode: 39, Reward: 72.0
episode: 40, Reward: 33.0
episode: 41, Reward: 55.0
episode: 42, Reward: 50.0
episode: 43, Reward: 75.0
episode: 44, Reward: 65.0
episode: 45, Reward: 53.0
episode: 46, Reward: 45.0
episode: 47, Reward: 50.0
episode: 48, Reward: 16.0
episode: 49, Reward: 24.0
episode: 50, Reward: 32.0
episode: 51, Reward: 46.0
episode: 52, Reward: 58.0
episode: 53, Reward: 72.0
episode: 54, Reward: 47.0
episode: 55, Reward: 70.0
episode: 56, Reward: 51.0
episode: 57, Reward: 68.0
episode: 58, Reward: 68.0
episode: 59, Reward: 109.0
episode: 60, Reward: 58.0
episode: 61, Reward: 65.0
episode: 62, Reward: 56.0
episode: 63, Reward: 103.0
episode: 64, Reward: 34.0
episode: 65, Reward: 63.0
episode: 66, Reward: 91.0
episode: 67, Reward: 176.0
episode: 68, Reward: 54.0
episode: 69, Reward: 46.0
episode: 70, Reward: 200.0
episode: 71, Reward: 200.0
episode: 72, Reward: 142.0
episode: 73, Reward: 80.0
episode: 74, Reward: 17.0
episode: 75, Reward: 61.0
episode: 76, Reward: 15.0
episode: 77, Reward: 28.0
episode: 78, Reward: 193.0
episode: 79, Reward: 33.0
episode: 80, Reward: 108.0
episode: 81, Reward: 73.0
episode: 82, Reward: 200.0
episode: 83, Reward: 100.0
episode: 84, Reward: 41.0
episode: 85, Reward: 32.0
episode: 86, Reward: 161.0
episode: 87, Reward: 67.0
episode: 88, Reward: 40.0
episode: 89, Reward: 152.0
episode: 90, Reward: 157.0
episode: 91, Reward: 200.0
episode: 92, Reward: 150.0
episode: 93, Reward: 83.0
episode: 94, Reward: 200.0
episode: 95, Reward: 109.0
episode: 96, Reward: 79.0
episode: 97, Reward: 61.0
episode: 98, Reward: 87.0
episode: 99, Reward: 87.0
