[-0.5198358487585446,0.0] [2] [-0.5188640701104285,0.000971778648116115]
[-0.5188640701104285,0.000971778648116115] [2] [-0.5169278005594089,0.0019362695510195638]
[-0.5169278005594089,0.0019362695510195638] [2] [-0.5140415599814478,0.0028862405779610766]
[-0.5140415599814478,0.0028862405779610766] [2] [-0.5102269887002212,0.0038145712812266926]
[-0.5102269887002212,0.0038145712812266926] [2] [-0.5055126789248402,0.004714309775381019]
[-0.5055126789248402,0.004714309775381019] [2] [-0.4999339483283289,0.005578730596511333]
[-0.4999339483283289,0.005578730596511333] [2] [-0.4935325548790968,0.0064013934492321]
[-0.4935325548790968,0.0064013934492321] [2] [-0.4863563524437195,0.007176202435377298]
[-0.4863563524437195,0.007176202435377298] [2] [-0.4784588874239428,0.007897465019776657]
[-0.4784588874239428,0.007897465019776657] [2] [-0.4698989377673607,0.008559949656582156]
[-0.4698989377673607,0.008559949656582156] [2] [-0.4607399970603081,0.009158940707052608]
[-0.4607399970603081,0.009158940707052608] [2] [-0.4510497080022575,0.009690289058050576]
[-0.4510497080022575,0.009690289058050576] [2] [-0.44089925127515633,0.010150456727101185]
[-0.44089925127515633,0.010150456727101185] [2] [-0.43036269754020684,0.01053655373494947]
[-0.43036269754020684,0.01053655373494947] [2] [-0.41951633188943704,0.010846365650769815]
[-0.41951633188943704,0.010846365650769815] [2] [-0.40843796142158684,0.011078370467850186]
[-0.40843796142158684,0.011078370467850186] [2] [-0.3972062175854737,0.011231743836113157]
[-0.3972062175854737,0.011231743836113157] [2] [-0.3858998654469799,0.011306352138493767]
[-0.3858998654469799,0.011306352138493767] [2] [-0.37459713202885825,0.011302733418121637]
[-0.37459713202885825,0.011302733418121637] [2] [-0.3633750653251456,0.011222066703712666]
[-0.3633750653251456,0.011222066703712666] [2] [-0.3523089345242571,0.01106613080088846]
[-0.3523089345242571,0.01106613080088846] [2] [-0.3414716804453909,0.010837254078866213]
[-0.3414716804453909,0.010837254078866213] [2] [-0.330933423292683,0.010538257152707883]
[-0.330933423292683,0.010538257152707883] [2] [-0.3207610326749716,0.010172390617711434]
[-0.3207610326749716,0.010172390617711434] [2] [-0.31101776255300856,0.009743270121963025]
[-0.31101776255300856,0.009743270121963025] [2] [-0.30176295148891163,0.009254811064096917]
[-0.30176295148891163,0.009254811064096917] [2] [-0.293051786404187,0.008711165084724632]
[-0.293051786404187,0.008711165084724632] [2] [-0.28493512610530536,0.00811666029888162]
[-0.28493512610530536,0.00811666029888162] [2] [-0.2774593791893546,0.007475746915950769]
[-0.2774593791893546,0.007475746915950769] [2] [-0.2706664296509468,0.006792949538407826]
[-0.2706664296509468,0.006792949538407826] [2] [-0.2645936026039239,0.006072827047022871]
[-0.2645936026039239,0.006072827047022871] [2] [-0.25927366201263624,0.0053199405912876556]
[-0.25927366201263624,0.0053199405912876556] [2] [-0.25473483218317106,0.004538829829465196]
[-0.25473483218317106,0.004538829829465196] [2] [-0.25100083496544534,0.0037339972177257014]
[-0.25100083496544534,0.0037339972177257014] [2] [-0.24809093512306024,0.002909899842385103]
[-0.24809093512306024,0.002909899842385103] [2] [-0.24601998709426676,0.0020709480287934923]
[-0.24601998709426676,0.0020709480287934923] [2] [-0.24479847734762059,0.0012215097466461615]
[-0.24479847734762059,0.0012215097466461615] [2] [-0.24443255768425926,0.00036591966336131936]
[-0.24443255768425926,0.00036591966336131936] [2] [-0.2449240661122848,-0.0004915084280255444]
[-0.2449240661122848,-0.0004915084280255444] [2] [-0.24627053327786586,-0.0013464671655810747]
[-0.24627053327786586,-0.0013464671655810747] [2] [-0.2484651738457962,-0.0021946405679303333]
[-0.2484651738457962,-0.0021946405679303333] [2] [-0.2514968636448215,-0.003031689799025277]
[-0.2514968636448215,-0.003031689799025277] [2] [-0.25535010479618564,-0.003853241151364169]
[-0.25535010479618564,-0.003853241151364169] [0] [-0.2620049823927898,-0.006654877596604134]
[-0.2620049823927898,-0.006654877596604134] [0] [-0.2714265362761955,-0.009421553883405681]
[-0.2714265362761955,-0.009421553883405681] [0] [-0.283564071315945,-0.012137535039749514]
[-0.283564071315945,-0.012137535039749514] [0] [-0.2983502637082759,-0.014786192392330852]
[-0.2983502637082759,-0.014786192392330852] [0] [-0.31570015407032537,-0.017349890362049456]
[-0.31570015407032537,-0.017349890362049456] [0] [-0.33551014235726817,-0.019809988286942797]
[-0.33551014235726817,-0.019809988286942797] [0] [-0.3576571197918929,-0.022146977434624748]
[-0.3576571197918929,-0.022146977434624748] [0] [-0.3819978863150677,-0.024340766523174774]
[-0.3819978863150677,-0.024340766523174774] [0] [-0.4083690053294538,-0.026371119014386084]
[-0.4083690053294538,-0.026371119014386084] [1] [-0.4355872375696616,-0.027218232240207828]
[-0.4355872375696616,-0.027218232240207828] [0] [-0.4644579134587252,-0.028870675889063634]
[-0.4644579134587252,-0.028870675889063634] [0] [-0.4947698223715036,-0.030311908912778344]
[-0.4947698223715036,-0.030311908912778344] [0] [-0.5262976789843962,-0.03152785661289256]
[-0.5262976789843962,-0.03152785661289256] [0] [-0.5588052940430563,-0.032507615058660164]
[-0.5588052940430563,-0.032507615058660164] [0] [-0.5920493508721001,-0.03324405682904377]
[-0.5920493508721001,-0.03324405682904377] [0] [-0.6257836289303066,-0.0337342780582065]
[-0.6257836289303066,-0.0337342780582065] [0] [-0.6597634679283279,-0.03397983899802121]
[-0.6597634679283279,-0.03397983899802121] [0] [-0.6937502375184175,-0.033986769590089616]
[-0.6937502375184175,-0.033986769590089616] [0] [-0.7275155727106324,-0.03376533519221496]
[-0.7275155727106324,-0.03376533519221496] [0] [-0.7608451546864418,-0.033329581975809354]
[-0.7608451546864418,-0.033329581975809354] [0] [-0.7935418574622819,-0.03269670277584013]
[-0.7935418574622819,-0.03269670277584013] [0] [-0.8254281366658348,-0.03188627920355288]
[-0.8254281366658348,-0.03188627920355288] [0] [-0.8563475995113287,-0.030919462845493843]
[-0.8563475995113287,-0.030919462845493843] [0] [-0.8861657567162533,-0.029818157204924638]
[-0.8861657567162533,-0.029818157204924638] [0] [-0.9147700106908632,-0.028604253974609896]
[-0.9147700106908632,-0.028604253974609896] [0] [-0.9420689751927168,-0.027298964501853606]
[-0.9420689751927168,-0.027298964501853606] [0] [-0.967991247686338,-0.02592227249362122]
[-0.967991247686338,-0.02592227249362122] [0] [-0.992483767149968,-0.024492519463629986]
[-0.992483767149968,-0.024492519463629986] [0] [-1.0155098890470724,-0.023026121897104485]
[-1.0155098890470724,-0.023026121897104485] [0] [-1.037047298654016,-0.02153740960694355]
[-1.037047298654016,-0.02153740960694355] [0] [-1.057085867232201,-0.020038568578184986]
[-1.057085867232201,-0.020038568578184986] [0] [-1.0756255357411528,-0.018539668508951734]
[-1.0756255357411528,-0.018539668508951734] [0] [-1.092674290431785,-0.01704875469063221]
[-1.092674290431785,-0.01704875469063221] [0] [-1.1082462755614948,-0.015571985129709785]
[-1.1082462755614948,-0.015571985129709785] [0] [-1.1223600717750732,-0.014113796213578375]
[-1.1223600717750732,-0.014113796213578375] [0] [-1.135037154955937,-0.01267708318086374]
[-1.135037154955937,-0.01267708318086374] [2] [-1.1443005396889858,-0.009263384733048852]
[-1.1443005396889858,-0.009263384733048852] [0] [-1.15216925253927,-0.007868712850284135]
[-1.15216925253927,-0.007868712850284135] [0] [-1.1586609086954087,-0.006491656156138802]
[-1.1586609086954087,-0.006491656156138802] [0] [-1.163791038203264,-0.005130129507855126]
[-1.163791038203264,-0.005130129507855126] [2] [-1.165572547787009,-0.0017815095837450667]
[-1.165572547787009,-0.0017815095837450667] [0] [-1.1660100497801162,-0.0004375019931074065]
[-1.1660100497801162,-0.0004375019931074065] [0] [-1.1651046871218609,0.0009053626582553012]
[-1.1651046871218609,0.0009053626582553012] [1] [-1.1618540990920925,0.0032505880297683653]
[-1.1618540990920925,0.0032505880297683653] [1] [-1.156249952522105,0.00560414656998737]
[-1.156249952522105,0.00560414656998737] [1] [-1.1482784066825995,0.007971545839505496]
[-1.1482784066825995,0.007971545839505496] [2] [-1.1369209277816386,0.011357478900960949]
[-1.1369209277816386,0.011357478900960949] [2] [-1.1221534690882875,0.014767458693351164]
[-1.1221534690882875,0.014767458693351164] [2] [-1.1039489513860834,0.01820451770220413]
[-1.1039489513860834,0.01820451770220413] [2] [-1.0822805793618355,0.02166837202424787]
[-1.0822805793618355,0.02166837202424787] [2] [-1.0571260412724444,0.025154538089391068]
[-1.0571260412724444,0.025154538089391068] [0] [-1.0304726120688643,0.026653429203580103]
[-1.0304726120688643,0.026653429203580103] [2] [-1.0003223290955192,0.03015028297334501]
[-1.0003223290955192,0.03015028297334501] [2] [-0.9666967248847255,0.03362560421079379]
[-0.9666967248847255,0.03362560421079379] [2] [-0.9296436713353631,0.03705305354936236]
[-0.9296436713353631,0.03705305354936236] [1] [-0.8902444759956544,0.039399195339708704]
[-0.8902444759956544,0.039399195339708704] [2] [-0.8476173335868377,0.04262714240881672]
[-0.8476173335868377,0.04262714240881672] [1] [-0.8029250760751449,0.044692257511692854]
[-0.8029250760751449,0.044692257511692854] [2] [-0.7553745870838182,0.04755048899132667]
[-0.7553745870838182,0.04755048899132667] [2] [-0.7052225058613811,0.050152081222437125]
[-0.7052225058613811,0.050152081222437125] [2] [-0.6527746547941123,0.052447851067268764]
[-0.6527746547941123,0.052447851067268764] [2] [-0.5983820523641099,0.054392602430002435]
[-0.5983820523641099,0.054392602430002435] [2] [-0.5424332686005426,0.05594878376356721]
[-0.5424332686005426,0.05594878376356721] [2] [-0.4853433012922294,0.05708996730831325]
[-0.4853433012922294,0.05708996730831325] [2] [-0.4275396206114431,0.05780368068078626]
[-0.4275396206114431,0.05780368068078626] [2] [-0.369446453225952,0.05809316738549114]
[-0.369446453225952,0.05809316738549114] [2] [-0.31146865668117274,0.05797779654477927]
[-0.31146865668117274,0.05797779654477927] [2] [-0.25397660083021967,0.05749205585095305]
[-0.25397660083021967,0.05749205585095305] [2] [-0.19729330792814495,0.05668329290207471]
[-0.19729330792814495,0.05668329290207471] [2] [-0.14168474826376437,0.055608559664380594]
[-0.14168474826376437,0.055608559664380594] [2] [-0.0873537295127811,0.05433101875098327]
[-0.0873537295127811,0.05433101875098327] [2] [-0.03443735584722388,0.05291637366555722]
[-0.03443735584722388,0.05291637366555722] [2] [0.016992347684896762,0.05142970353212064]
[0.016992347684896762,0.05142970353212064] [2] [0.06692529883728615,0.04993295115238938]
[0.06692529883728615,0.04993295115238938] [2] [0.11540846964965462,0.04848317081236848]
[0.11540846964965462,0.04848317081236848] [2] [0.16253998966976482,0.047131520020110194]
[0.16253998966976482,0.047131520020110194] [2] [0.2084628835330138,0.04592289386324896]
[0.2084628835330138,0.04592289386324896] [2] [0.2533589382466187,0.044896054713604916]
[0.2533589382466187,0.044896054713604916] [1] [0.2964430352370213,0.043084096990402616]
[0.2964430352370213,0.043084096990402616] [1] [0.33795229918271597,0.04150926394569463]
[0.33795229918271597,0.04150926394569463] [1] [0.3781400865536045,0.040187787370888524]
[0.3781400865536045,0.040187787370888524] [1] [0.4172712291343683,0.03913114258076385]
[0.4172712291343683,0.03913114258076385] [1] [0.4556183700069604,0.038347140872592105]
[0.4556183700069604,0.038347140872592105] [1] [0.4934591847979295,0.03784081479096906]
[0.4934591847979295,0.03784081479096906] [1] [0.531074260541843,0.03761507574391356]
[-0.4783806356474718,0.0] [2] [-0.4777187325165815,0.0006619031308903227]
[-0.4777187325165815,0.0006619031308903227] [2] [-0.4763998442519056,0.0013188882646758553]
[-0.4763998442519056,0.0013188882646758553] [2] [-0.47443376625491096,0.0019660779969946484]
[-0.47443376625491096,0.0019660779969946484] [2] [-0.4718350903138559,0.0025986759410550698]
