
Episode: 1, reward: -200.0
Episode: 2, reward: -104.0
Episode: 3, reward: -200.0
Episode: 4, reward: -177.0
[Episode #5]
Background Trial: 1, reward: -187.0
Background Trial: 2, reward: -166.0
Background Trial: 3, reward: -165.0
Background Trial: 4, reward: -188.0
Background Trial: 5, reward: -189.0
Background Trial: 6, reward: -165.0
Background Trial: 7, reward: -189.0
Background Trial: 8, reward: -158.0
Background Trial: 9, reward: -147.0
Background Trial: 10, reward: -192.0
Episode: 5, reward: -116.0
Episode: 6, reward: -151.0
Episode: 7, reward: -156.0
Episode: 8, reward: -124.0
Episode: 9, reward: -200.0
[Episode #10]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -200.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -200.0
Background Trial: 10, reward: -200.0
Episode: 10, reward: -160.0
Episode: 11, reward: -200.0
Episode: 12, reward: -127.0
Episode: 13, reward: -185.0
Episode: 14, reward: -146.0
[Episode #15]
Background Trial: 1, reward: -153.0
Background Trial: 2, reward: -160.0
Background Trial: 3, reward: -130.0
Background Trial: 4, reward: -162.0
Background Trial: 5, reward: -160.0
Background Trial: 6, reward: -129.0
Background Trial: 7, reward: -156.0
Background Trial: 8, reward: -166.0
Background Trial: 9, reward: -159.0
Background Trial: 10, reward: -129.0
Episode: 15, reward: -120.0
Episode: 16, reward: -83.0
Episode: 17, reward: -200.0
Episode: 18, reward: -117.0
Episode: 19, reward: -123.0
[Episode #20]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -200.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -200.0
Background Trial: 10, reward: -200.0
Episode: 20, reward: -200.0
Episode: 21, reward: -191.0
Episode: 22, reward: -118.0
Episode: 23, reward: -118.0
Episode: 24, reward: -200.0
[Episode #25]
Background Trial: 1, reward: -142.0
Background Trial: 2, reward: -142.0
Background Trial: 3, reward: -144.0
Background Trial: 4, reward: -141.0
Background Trial: 5, reward: -141.0
Background Trial: 6, reward: -85.0
Background Trial: 7, reward: -105.0
Background Trial: 8, reward: -143.0
Background Trial: 9, reward: -94.0
Background Trial: 10, reward: -142.0
Episode: 25, reward: -173.0
Episode: 26, reward: -139.0
Episode: 27, reward: -85.0
Episode: 28, reward: -122.0
Episode: 29, reward: -139.0
[Episode #30]
Background Trial: 1, reward: -138.0
Background Trial: 2, reward: -105.0
Background Trial: 3, reward: -161.0
Background Trial: 4, reward: -139.0
Background Trial: 5, reward: -139.0
Background Trial: 6, reward: -107.0
Background Trial: 7, reward: -105.0
Background Trial: 8, reward: -99.0
Background Trial: 9, reward: -107.0
Background Trial: 10, reward: -109.0
Episode: 30, reward: -107.0
Episode: 31, reward: -139.0
Episode: 32, reward: -84.0
Episode: 33, reward: -139.0
Episode: 34, reward: -92.0
[Episode #35]
Background Trial: 1, reward: -108.0
Background Trial: 2, reward: -106.0
Background Trial: 3, reward: -156.0
Background Trial: 4, reward: -87.0
Background Trial: 5, reward: -165.0
Background Trial: 6, reward: -108.0
Background Trial: 7, reward: -96.0
Background Trial: 8, reward: -139.0
Background Trial: 9, reward: -157.0
Background Trial: 10, reward: -84.0
Episode: 35, reward: -96.0
Episode: 36, reward: -108.0
Episode: 37, reward: -159.0
Episode: 38, reward: -138.0
Episode: 39, reward: -156.0
[Episode #40]
Background Trial: 1, reward: -107.0
Background Trial: 2, reward: -83.0
Background Trial: 3, reward: -94.0
Background Trial: 4, reward: -94.0
Background Trial: 5, reward: -107.0
Background Trial: 6, reward: -85.0
Background Trial: 7, reward: -105.0
Background Trial: 8, reward: -87.0
Background Trial: 9, reward: -163.0
Background Trial: 10, reward: -139.0
Episode: 40, reward: -161.0
[Episode #41]
Background Trial: 1, reward: -151.0
Background Trial: 2, reward: -105.0
Background Trial: 3, reward: -106.0
Background Trial: 4, reward: -154.0
Background Trial: 5, reward: -87.0
Background Trial: 6, reward: -90.0
Background Trial: 7, reward: -164.0
Background Trial: 8, reward: -181.0
Background Trial: 9, reward: -89.0
Background Trial: 10, reward: -107.0
Episode: 41, reward: -109.0
[Episode #42]
Background Trial: 1, reward: -108.0
Background Trial: 2, reward: -107.0
Background Trial: 3, reward: -92.0
Background Trial: 4, reward: -93.0
Background Trial: 5, reward: -164.0
Background Trial: 6, reward: -86.0
Background Trial: 7, reward: -106.0
Background Trial: 8, reward: -96.0
Background Trial: 9, reward: -107.0
Background Trial: 10, reward: -138.0
Episode: 42, reward: -107.0
[Episode #43]
Background Trial: 1, reward: -108.0
Background Trial: 2, reward: -104.0
Background Trial: 3, reward: -104.0
Background Trial: 4, reward: -105.0
Background Trial: 5, reward: -107.0
Background Trial: 6, reward: -155.0
Background Trial: 7, reward: -86.0
Background Trial: 8, reward: -107.0
Background Trial: 9, reward: -154.0
Background Trial: 10, reward: -106.0
Episode: 43, reward: -100.0
[Episode #44]
Background Trial: 1, reward: -84.0
Background Trial: 2, reward: -87.0
Background Trial: 3, reward: -105.0
Background Trial: 4, reward: -87.0
Background Trial: 5, reward: -160.0
Background Trial: 6, reward: -138.0
Background Trial: 7, reward: -151.0
Background Trial: 8, reward: -107.0
Background Trial: 9, reward: -138.0
Background Trial: 10, reward: -84.0
Episode: 44, reward: -151.0
[Episode #45]
Background Trial: 1, reward: -180.0
Background Trial: 2, reward: -105.0
Background Trial: 3, reward: -105.0
Background Trial: 4, reward: -106.0
Background Trial: 5, reward: -85.0
Background Trial: 6, reward: -102.0
Background Trial: 7, reward: -105.0
Background Trial: 8, reward: -87.0
Background Trial: 9, reward: -86.0
Background Trial: 10, reward: -88.0
Episode: 45, reward: -83.0
[Episode #46]
