
Episode: 1, reward: -200.0
Episode: 2, reward: -200.0
Episode: 3, reward: -122.0
Episode: 4, reward: -200.0
[Episode #5]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -200.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -144.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -151.0
Background Trial: 10, reward: -200.0
Episode: 5, reward: -167.0
Episode: 6, reward: -200.0
Episode: 7, reward: -89.0
Episode: 8, reward: -122.0
Episode: 9, reward: -200.0
[Episode #10]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -200.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -200.0
Background Trial: 10, reward: -200.0
Episode: 10, reward: -133.0
Episode: 11, reward: -173.0
Episode: 12, reward: -126.0
Episode: 13, reward: -127.0
Episode: 14, reward: -170.0
[Episode #15]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -200.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -200.0
Background Trial: 10, reward: -200.0
Episode: 15, reward: -122.0
Episode: 16, reward: -119.0
Episode: 17, reward: -122.0
Episode: 18, reward: -128.0
Episode: 19, reward: -175.0
[Episode #20]
Background Trial: 1, reward: -200.0
Background Trial: 2, reward: -200.0
Background Trial: 3, reward: -169.0
Background Trial: 4, reward: -200.0
Background Trial: 5, reward: -200.0
Background Trial: 6, reward: -200.0
Background Trial: 7, reward: -200.0
Background Trial: 8, reward: -200.0
Background Trial: 9, reward: -184.0
Background Trial: 10, reward: -175.0
Episode: 20, reward: -125.0
Episode: 21, reward: -200.0
Episode: 22, reward: -128.0
Episode: 23, reward: -200.0
Episode: 24, reward: -166.0
[Episode #25]
Background Trial: 1, reward: -120.0
Background Trial: 2, reward: -153.0
Background Trial: 3, reward: -125.0
Background Trial: 4, reward: -118.0
Background Trial: 5, reward: -162.0
Background Trial: 6, reward: -105.0
Background Trial: 7, reward: -121.0
Background Trial: 8, reward: -118.0
Background Trial: 9, reward: -120.0
Background Trial: 10, reward: -120.0
Episode: 25, reward: -163.0
Episode: 26, reward: -200.0
Episode: 27, reward: -121.0
Episode: 28, reward: -186.0
Episode: 29, reward: -125.0
[Episode #30]
Background Trial: 1, reward: -167.0
Background Trial: 2, reward: -161.0
Background Trial: 3, reward: -182.0
Background Trial: 4, reward: -162.0
Background Trial: 5, reward: -172.0
Background Trial: 6, reward: -166.0
Background Trial: 7, reward: -120.0
Background Trial: 8, reward: -125.0
Background Trial: 9, reward: -161.0
Background Trial: 10, reward: -165.0
